QueryName,QuerySMILES,TargetCompoundName,TargetSMILES,Similarity
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.26653356026492003
车叶草苷,CC(=O)OCC1=C[C@H]2[C@H]3[C@@H]1[C@@H](OC=C3C(=O)O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.2512873804625111
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.5447230161048544
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.46750881785858095
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.5924514983898002
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.5697670699110888
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.5791707887787152
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.5316923361191788
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.6617815989323289
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.5980384230734115
东莨菪素,COC1=C(C=C2C(=C1)C=CC(=O)O2)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.5216235262396214
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.5596221531548465
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.45094918257817307
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.5994254526169428
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.5654700519344833
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.5628006135389486
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.482871100579787
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.5848341774446144
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.5416513566061898
秦皮乙素,C1=CC(=O)OC2=CC(=C(C=C21)O)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.5236765959292666
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.6297531823142937
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.5431673975632852
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.6228496841073231
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.6200292986641476
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.5882400134388355
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.5457614222069507
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.6215635146260329
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.5841529559382841
4-香豆酸,C1=CC(=CC=C1/C=C/C(=O)O)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.5303969274203746
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.5588675198768336
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.4842551420602015
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.5897829508227568
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.589287806889649
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.5670176186427622
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.5758189976157562
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.639595830707397
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.5776464392169913
阿魏酸,COC1=C(C=CC(=C1)/C=C/C(=O)O)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.5101570120849068
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.37855517256509463
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C/C(=C\C1=CC=C(C=C1)Cl)/C(=N\O)/C,AP-18,0.32926630636213194
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C[C@H]1[C@@H](C[C@H](N1S(=O)(=O)C2=CC=C(C=C2)F)C(=O)NCC3=CC(=NC=C3C(F)(F)F)C4=CN=C(N=C4)C(F)(F)F)F,GDC-0334,0.4016388053911174
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C[C@H]1CC[C@]2([C@H]([C@]1(C)CCC3(CCC(OO3)[C@@H](C)C(=O)O)C)CCCC2=C)C,hTRPA1-IN-1,0.36668198858539736
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C,HC-030031,0.3664885887956123
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C1=CC(=C(C=C1I)F)C#N,2-Fluoro-4-iodobenzonitrile,0.4152809191799366
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](C/C=C\CCC(=O)O)O)O)O,Resolvin D2,0.3995135807813609
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,C1CC[C@@]([C@@H](C1)NC2=CC=C(C=C2)F)(C(F)(F)F)O,BAY-390,0.37476905580521447
山奈酚,C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,CC1=NC2=C(C(=O)N1CC3=NC(=NO3)[C@H]4C[C@@H](OC4)C5=CC=C(C=C5)Cl)N(C=N2)C,GDC-6599,0.31973148151865305
熊果酸,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,C1CCC(C1)(C(=O)N2CCN(CC2)C3=CC=C(C=C3)C(F)(F)F)NC4=CC=C(C=C4)C#N,TRPA1-IN-2,0.34195754516808785
